,Unnamed: 0,artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,album_image,preview_url
0,0,Joji,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,99,3MZsBdqDrRTJihTHQrO6Dq,86,['viral pop'],6481642,0.44,0.317,-9.258,0.0531,0.891,4.78e-06,0.141,0.268,169.914,6xGruZOHLs39ZbVccQTuPZ,233456,3,https://i.scdn.co/image/ab67616d0000b273f798d46201c266747be5db2e,https://p.scdn.co/mp3-preview/071c22f355ed0d03fdc176dcb25a487f5ffb661c?cid=2763bb5284cd4f7cbb19087c145dca6f
1,1,Ish Kevin,My Year (2022),4eHkG6yWQ4pD0zqVkV0R5a,22,27rjDVGfZG4eorQwrZt2ZD,23,['rwandan hip hop'],7033,0.521,0.683,-6.24,0.501,0.159,0.0,0.187,0.737,139.439,4eHkG6yWQ4pD0zqVkV0R5a,161808,3,https://i.scdn.co/image/ab67616d0000b2737939184be6c353104c1f60c2,https://p.scdn.co/mp3-preview/4c35af7ff98504fd53dde8819bcefc728ac6c3fb?cid=2763bb5284cd4f7cbb19087c145dca6f
2,2,Alonestar,COOKING UP,5D87MkcNRiZ4AsVMwxRrC1,32,1kwi1Q7X4jPTkHTgayxKhS,49,[],3912,0.544,0.792,-8.73,0.343,0.261,0.0,0.267,0.628,87.891,5D87MkcNRiZ4AsVMwxRrC1,211766,4,https://i.scdn.co/image/ab67616d0000b273bfee91a8087b93329efd9c20,https://p.scdn.co/mp3-preview/9972d3ffef0a20628bfd19af13303e3ee0223d16?cid=2763bb5284cd4f7cbb19087c145dca6f
3,3,Bee Gees,"Night Fever - From ""Saturday Night Fever"" Soundtrack",0eRHyLCekRpdkuuFu237b7,0,1LZEQNv7sE11VDY3SdxQeN,75,"['disco', 'mellow gold', 'soft rock']",5846974,0.726,0.779,-7.057,0.0251,0.0178,0.00178,0.104,0.841,109.133,0eRHyLCekRpdkuuFu237b7,212800,4,https://i.scdn.co/image/ab67616d0000b273bfc0cf223d56aa0b7a0a6aa3,
4,4,Bad Bunny,Me Porto Bonito,6Sq7ltF9Qa7SNFBsV5Cogx,100,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134,0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,6Sq7ltF9Qa7SNFBsV5Cogx,178567,4,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://p.scdn.co/mp3-preview/8513b15fb5b39966d8eccaa7b8c050c7a570e6e8?cid=2763bb5284cd4f7cbb19087c145dca6f
5,5,Zager & Evans,In the Year 2525,3LdLGNKCW0dNr14JQlZPQt,38,55IyYO6fmYpYw6Nd4YF7bw,36,"['bubblegum pop', 'folk rock']",8448,0.437,0.605,-5.5,0.0329,0.00924,0.118,0.264,0.581,125.114,3LdLGNKCW0dNr14JQlZPQt,191160,4,https://i.scdn.co/image/ab67616d0000b273ee3135e396898b14fbdbdae1,https://p.scdn.co/mp3-preview/4c21f3b73583a2ab99b21fe4297bcb470f697aca?cid=2763bb5284cd4f7cbb19087c145dca6f
6,6,Chief $upreme,One For The Money (feat. Lil Wayne),1ba35FVwUaQv6cGduL6Fr4,20,4mADBH1bN8alebB6pKjU9w,34,['canadian underground hip hop'],5379,0.745,0.758,-5.344,0.0434,0.0472,0.0,0.332,0.511,89.862,1ba35FVwUaQv6cGduL6Fr4,150152,4,https://i.scdn.co/image/ab67616d0000b2738de7279477281ae6ed58bff7,https://p.scdn.co/mp3-preview/1a4a3e2248e185036df5895517d4bdc56822b667?cid=2763bb5284cd4f7cbb19087c145dca6f
7,7,Hardik Vedanta,Islamic New Year 2022,63kjRQMoAaZeXqXdWBfEcs,0,3YoBqSXo0y0NzCSMaxNxm2,0,[],2,0.158,0.0567,-24.076,0.0471,0.852,0.961,0.248,0.0366,108.669,63kjRQMoAaZeXqXdWBfEcs,278551,3,https://i.scdn.co/image/ab67616d0000b273ba949569643c9c0d17198cfc,https://p.scdn.co/mp3-preview/5e0857ac13cb475ec1be43e66ceef94fb7aa13a5?cid=2763bb5284cd4f7cbb19087c145dca6f
8,8,Drake,Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,93,3TVXtAsR1Inumwj472S9r4,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",65321252,0.529,0.673,-4.711,0.175,0.000307,2.41e-06,0.093,0.366,165.921,3F5CgOj3wFlRv51JsHbxhe,218365,4,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,
9,9,Zedd,Stay,2tkPgj0Voqw5s2B4BsKxnU,2,2qxJFvFYMEDqd7ui6kSAcq,74,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']",5779734,0.689,0.623,-5.025,0.0621,0.254,0.0,0.113,0.546,101.998,2tkPgj0Voqw5s2B4BsKxnU,210400,4,https://i.scdn.co/image/ab67616d0000b273bfc0cf223d56aa0b7a0a6aa3,
