,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.44,0.317,-9.258,0.0531,0.891,4.78e-06,0.141,0.268,169.914,6xGruZOHLs39ZbVccQTuPZ,233456,3
1,0.521,0.683,-6.24,0.501,0.159,0.0,0.187,0.737,139.439,4eHkG6yWQ4pD0zqVkV0R5a,161808,3
2,0.544,0.792,-8.73,0.343,0.261,0.0,0.267,0.628,87.891,5D87MkcNRiZ4AsVMwxRrC1,211766,4
3,0.726,0.779,-7.057,0.0251,0.0178,0.00178,0.104,0.841,109.133,0eRHyLCekRpdkuuFu237b7,212800,4
4,0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,6Sq7ltF9Qa7SNFBsV5Cogx,178567,4
5,0.437,0.605,-5.5,0.0329,0.00924,0.118,0.264,0.581,125.114,3LdLGNKCW0dNr14JQlZPQt,191160,4
6,0.745,0.758,-5.344,0.0434,0.0472,0.0,0.332,0.511,89.862,1ba35FVwUaQv6cGduL6Fr4,150152,4
7,0.158,0.0567,-24.076,0.0471,0.852,0.961,0.248,0.0366,108.669,63kjRQMoAaZeXqXdWBfEcs,278551,3
8,0.529,0.673,-4.711,0.175,0.000307,2.41e-06,0.093,0.366,165.921,3F5CgOj3wFlRv51JsHbxhe,218365,4
9,0.689,0.623,-5.025,0.0621,0.254,0.0,0.113,0.546,101.998,2tkPgj0Voqw5s2B4BsKxnU,210400,4
10,0.835,0.789,-7.362,0.254,0.213,0.0,0.0978,0.555,163.99,75gv6Lz2PM4n4GgDvcSImP,175598,4
11,0.659,0.857,-5.85,0.0437,0.0045,1.93e-06,0.335,0.798,106.965,4zP7ADsgJgHGY6VzxbNp1z,201960,4
12,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,1IHWl5LamUGEuP4ozKQSXZ,243717,4
13,0.348,0.714,-5.394,0.154,0.0119,0.803,0.157,0.0349,154.714,0jN1Tv6z04zafIDUUSobVJ,186828,1
14,0.633,0.717,-3.875,0.0493,0.00602,0.0,0.151,0.602,142.951,4Gm1VAxKdLS9aL7bkbZZyr,172283,4
15,0.509,0.781,-3.48,0.0721,0.0391,0.0,0.0749,0.176,128.002,6Rb8fTrmmivroJEy4avjRm,271427,4
16,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4LRPiXqCikLlN15c3yImP7,167303,4
17,0.764,0.705,-3.463,0.0284,0.259,8.92e-05,0.12,0.781,110.97,3DarAbFujv6eYNliUTyqtz,208667,4
18,0.612,0.872,-4.938,0.197,0.0484,0.0,0.0862,0.587,90.883,0MrI5860scv6Zhv8eJlLjY,237253,4
19,0.742,0.587,-6.67,0.32,0.155,0.0,0.607,0.481,89.981,6RYvYpuG78mZ9ZbruGC69Q,154671,4
20,0.714,0.728,-4.595,0.0468,0.298,0.0,0.106,0.901,114.996,1qEmFfgcLObUfQm0j1W2CK,177955,4
21,0.753,0.657,-3.061,0.045,0.173,0.0,0.112,0.435,107.013,1XBL6XxdXb77tyjPIactJr,184732,4
22,0.834,0.628,-4.403,0.359,0.0849,0.0,0.0372,0.76,81.091,0elEjBWGVXPnMcDkHuUQlW,215504,4
23,0.642,0.695,-5.62,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,3yII7UwgLF6K5zW3xad3MP,230960,4
24,0.836,0.743,-6.305,0.0656,0.0995,0.0,0.335,0.722,108.966,1PckUlxKqWQs3RlWXVBLw3,191822,4
25,0.691,0.935,-2.545,0.349,0.389,0.0,0.496,0.652,130.035,1lTRbPKUMoeD0tHGdwQCaF,269607,4
26,0.755,0.837,-2.718,0.142,0.0991,0.0,0.289,0.714,120.028,0HPD5WQqrq7wPWR7P7Dw1i,199693,4
27,0.597,0.527,-8.658,0.0412,0.127,0.0,0.14,0.535,123.946,59yeBiuPekqUhkuOj96Wc8,168387,4
28,0.463,0.642,-4.474,0.34,0.314,0.0,0.0686,0.339,83.389,59nOXPmaKlBfGMDeOVGrIK,189893,4
29,0.65,0.825,-4.645,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,37BZB0z9T8Xu7U3e65qxFy,191014,4
30,0.677,0.557,-9.498,0.472,0.114,0.0,0.137,0.797,84.926,6ZIR3HiLbpy5xPAShl2a7u,217881,4
31,0.22,0.111,-20.323,0.0339,0.951,0.852,0.0995,0.0901,171.957,5hhw7WkW1tJ5hFVEme6Mle,326760,4
32,0.733,0.67,-6.009,0.0751,0.121,0.0,0.121,0.472,100.964,0O6u0VJ46W86TxN9wgyqDj,192841,4
33,0.677,0.744,-6.806,0.0296,0.0405,0.000153,0.074,0.631,124.077,1D5bgpjwcxnxnECQEn7m1z,152913,4
34,0.905,0.563,-6.135,0.102,0.0254,9.71e-06,0.113,0.324,106.998,1rDQ4oMwGJI7B4tovsBOxc,173948,4
35,0.801,0.601,-7.574,0.255,0.0777,3.23e-05,0.145,0.74,159.969,0hquQWY3xvYqN4qtiquniF,182907,4
36,0.926,0.56,-2.238,0.048,0.18,5.39e-05,0.0804,0.974,92.916,2HNvVE43C2cgqFht62Vqph,267960,4
37,0.804,0.674,-5.453,0.0333,0.294,1.18e-06,0.115,0.292,99.968,6Xom58OOXk2SoU711L2IXO,245940,4
38,0.809,0.548,-10.46,0.113,0.564,0.844,0.0964,0.104,120.003,7niIWQiDqvFvyNtRJBgjIg,308000,4
39,0.647,0.686,-5.745,0.0413,0.08,1.34e-06,0.528,0.268,79.928,3k3NWokhRRkEPhCzPmV8TW,258299,4
40,0.671,0.806,-5.198,0.0889,0.0305,1.2e-05,0.298,0.646,104.39,2AklTah8huTcBtPGU3Tu5L,202440,4
41,0.801,0.475,-8.797,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,5Eax0qFko2dh7Rl2lYs3bx,213061,4
42,0.854,0.806,-8.262,0.0886,0.0209,0.0542,0.0703,0.637,124.927,2dPeFO5SPM4WewrtyxxuwL,157890,4
43,0.731,0.85,-4.913,0.0336,0.252,0.0,0.605,0.644,119.706,5uU1uuyaUIBOiiUSQG7Wl3,157478,4
44,0.768,0.864,-6.149,0.0324,0.101,0.0,0.162,0.891,110.009,36mtwkNhdENT8UDqOIZAb7,173027,4
45,0.829,0.799,-5.389,0.0897,0.0151,0.000543,0.242,0.471,97.013,4tYFy8ALRjIZvnvSLw5lxN,227629,4
46,0.731,0.867,-5.881,0.032,0.0394,0.0,0.0861,0.776,104.02,594T8WGti1SFxj7nA0bf0h,200373,4
47,0.564,0.903,-3.221,0.307,0.356,0.0,0.175,0.607,78.293,1dm6z1fWB0cErMszU25dy2,230400,4
48,0.693,0.767,-6.822,0.0544,0.0255,4.5e-06,0.158,0.204,123.014,26AXFaooZfNBmEfFLH0i1p,190733,4
49,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,4Dvkj6JhhA12EX05fT7y2e,167303,4
50,0.709,0.692,-4.903,0.0338,0.199,0.0,0.106,0.624,96.624,3rz3j6GgJToW32pPoK2ANL,181787,4
51,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4h9wh7iOZ0GGn8QVp4RAOB,148486,4
52,0.857,0.796,-6.866,0.0527,0.079,0.0,0.0503,0.944,132.528,3v4km1NkY4M8jZ7J4ohzHR,204600,4
53,0.881,0.592,-4.898,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,0mBP9X2gPCuapvpZ7TGDk3,154487,4
54,0.429,0.834,-6.61,0.261,0.0106,0.0,0.163,0.664,179.932,4u2gL1g6AgF2vlAURETOXi,110517,4
55,0.87,0.516,-8.006,0.0541,0.656,0.00823,0.11,0.53,111.005,7dSZ6zGTQx66c2GF91xCrb,210200,4
56,0.494,0.939,-3.608,0.0354,0.000768,0.0,0.118,0.645,140.992,5HcV3YJu0u1PERen9uSV0T,189149,4
57,0.687,0.887,-5.04,0.0826,0.0575,2.21e-06,0.27,0.853,114.941,2KukL7UlQ8TdvpaA7bY3ZJ,278282,4
58,0.289,0.161,-16.482,0.033,0.798,0.000166,0.455,0.15,88.972,67miUQbUxLQipKWO7yfpLH,145201,5
59,0.72,0.715,-4.652,0.04,0.258,0.0568,0.107,0.357,107.041,5LYMamLv12UPbemOaTPyeV,193813,4
60,0.592,0.193,-13.876,0.0334,0.955,0.00508,0.117,0.383,127.381,3B26XqOpSrxKSPKWJCVlwF,145414,4
61,0.686,0.507,-7.097,0.0357,0.626,7.51e-05,0.383,0.69,168.955,5CM4UuQ9Gnd6K2YyKGPMoK,232115,4
62,0.494,0.939,-3.608,0.0354,0.000768,0.0,0.118,0.645,140.992,47TcNyFx6YGe7OKZHnOfFW,189149,4
63,0.795,0.684,-3.971,0.0419,0.0225,0.0,0.658,0.419,114.011,41oY4WCTj5kccfesTVFnvN,237895,4
64,0.726,0.371,-17.857,0.0722,0.021,0.664,0.114,0.0799,141.059,2lGrMaDv56BVIxNrgT5GY7,60966,4
65,0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3WMj8moIAXJhHsyLaqIIHI,228013,3
66,0.756,0.809,-3.655,0.0541,0.0173,3.69e-06,0.66,0.64,109.901,3uRUbppUFPsmrccRXSDAjE,264847,4
