,artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers
0,Joji,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,99,3MZsBdqDrRTJihTHQrO6Dq,86,['viral pop'],6481642
1,Ish Kevin,My Year (2022),4eHkG6yWQ4pD0zqVkV0R5a,22,27rjDVGfZG4eorQwrZt2ZD,23,['rwandan hip hop'],7033
2,Alonestar,COOKING UP,5D87MkcNRiZ4AsVMwxRrC1,32,1kwi1Q7X4jPTkHTgayxKhS,49,[],3912
3,Bee Gees,"Night Fever - From ""Saturday Night Fever"" Soundtrack",0eRHyLCekRpdkuuFu237b7,0,1LZEQNv7sE11VDY3SdxQeN,75,"['disco', 'mellow gold', 'soft rock']",5846974
4,Bad Bunny,Me Porto Bonito,6Sq7ltF9Qa7SNFBsV5Cogx,100,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134
5,Zager & Evans,In the Year 2525,3LdLGNKCW0dNr14JQlZPQt,38,55IyYO6fmYpYw6Nd4YF7bw,36,"['bubblegum pop', 'folk rock']",8448
6,Chief $upreme,One For The Money (feat. Lil Wayne),1ba35FVwUaQv6cGduL6Fr4,20,4mADBH1bN8alebB6pKjU9w,34,['canadian underground hip hop'],5379
7,Hardik Vedanta,Islamic New Year 2022,63kjRQMoAaZeXqXdWBfEcs,0,3YoBqSXo0y0NzCSMaxNxm2,0,[],2
8,Drake,Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,93,3TVXtAsR1Inumwj472S9r4,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",65321252
9,Zedd,Stay,2tkPgj0Voqw5s2B4BsKxnU,2,2qxJFvFYMEDqd7ui6kSAcq,74,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']",5779734
10,LOU WILL,Big Tuh,75gv6Lz2PM4n4GgDvcSImP,29,6IzO9CaAJZyKjJ06kjqpeD,13,[],980
11,Jonas Brothers,Year 3000,4zP7ADsgJgHGY6VzxbNp1z,66,7gOdHgIoIKoe4i9Tta6qdD,74,"['boy band', 'dance pop', 'pop', 'post-teen pop']",6379017
12,Bad Bunny,Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ,98,4q3ewBCX7sLwd24euuV69X,100,"['latin', 'reggaeton', 'trap latino']",51753134
